NNNN            ,0
NNN N           ,1
NNN  N          ,1
NNN   N         ,1
NNN    N        ,1
NNN     N       ,1
NNN      N      ,1
NNN       N     ,1
NNN        N    ,1
NNN         N   ,2
NNN          N  ,2
NNN           N ,2
NNN            N,2
NN NN           ,1
NN N N          ,1
NN N  N         ,1
NN N   N        ,1
NN N    N       ,1
NN N     N      ,1
NN N      N     ,1
NN N       N    ,1
NN N        N   ,2
NN N         N  ,2
NN N          N ,2
NN N           N,2
NN  NN          ,2
NN  N N         ,2
NN  N  N        ,2
NN  N   N       ,2
NN  N    N      ,2
NN  N     N     ,2
NN  N      N    ,2
NN  N       N   ,3
NN  N        N  ,3
NN  N         N ,3
NN  N          N,3
NN   NN         ,2
NN   N N        ,2
NN   N  N       ,2
NN   N   N      ,2
NN   N    N     ,2
NN   N     N    ,2
NN   N      N   ,3
NN   N       N  ,3
NN   N        N ,3
NN   N         N,3
NN    NN        ,2
NN    N N       ,2
NN    N  N      ,2
NN    N   N     ,2
NN    N    N    ,2
NN    N     N   ,3
NN    N      N  ,3
NN    N       N ,3
NN    N        N,3
NN     NN       ,2
NN     N N      ,2
NN     N  N     ,2
NN     N   N    ,2
NN     N    N   ,3
NN     N     N  ,3
NN     N      N ,3
NN     N       N,3
NN      NN      ,2
NN      N N     ,2
NN      N  N    ,2
NN      N   N   ,3
NN      N    N  ,3
NN      N     N ,3
NN      N      N,3
NN       NN     ,2
NN       N N    ,2
NN       N  N   ,3
NN       N   N  ,3
NN       N    N ,3
NN       N     N,3
NN        NN    ,2
NN        N N   ,3
NN        N  N  ,3
NN        N   N ,3
NN        N    N,3
NN         NN   ,3
NN         N N  ,3
NN         N  N ,3
NN         N   N,3
NN          NN  ,4
NN          N N ,4
NN          N  N,4
NN           NN ,4
NN           N N,4
NN            NN,4
N NNN           ,1
N NN N          ,1
N NN  N         ,1
N NN   N        ,1
N NN    N       ,1
N NN     N      ,1
N NN      N     ,1
N NN       N    ,1
N NN        N   ,2
N NN         N  ,2
N NN          N ,2
N NN           N,2
N N NN          ,2
N N N N         ,2
N N N  N        ,2
N N N   N       ,2
N N N    N      ,2
N N N     N     ,2
N N N      N    ,2
N N N       N   ,3
N N N        N  ,3
N N N         N ,3
N N N          N,3
N N  NN         ,2
N N  N N        ,2
N N  N  N       ,2
N N  N   N      ,2
N N  N    N     ,2
N N  N     N    ,2
N N  N      N   ,3
N N  N       N  ,3
N N  N        N ,3
N N  N         N,3
N N   NN        ,2
N N   N N       ,2
N N   N  N      ,2
N N   N   N     ,2
N N   N    N    ,2
N N   N     N   ,3
N N   N      N  ,3
N N   N       N ,3
N N   N        N,3
N N    NN       ,2
N N    N N      ,2
N N    N  N     ,2
N N    N   N    ,2
N N    N    N   ,3
N N    N     N  ,3
N N    N      N ,3
N N    N       N,3
N N     NN      ,2
N N     N N     ,2
